diet,why_diet
Omnivore,I love meat
Omnivore,health
Omnivore,Because this is what I’ve grown up knowing and haven’t made the choice to have any other diet
Omnivore,"Taste, nutrition, family compatibility, history"
Omnivore,"As a child and a young adult living at home with my parents and siblings, I ate meat as part of almost every evening meal. Having baby-boomer parents, it was just the way most people ate back then. I still enjoy eating meat, but on fewer occasions each week than when I was growing up."
Omnivore,"I'm a low meat eating omnivore. I eat a small amount of ethically sourced meat at home, and when I dine out I eat a fair bit of vego/vegan food if I don't know where my meat is coming from."
Vegetarian,Ethical reason
Vegan,Ethical and health reasons
Omnivore,I eat meat and vegetables. I enjoy the taste of meat as well as the taste of vegetables.
Omnivore,Because the variety of nutrients I get from eating this diet makes me feel my best
Omnivore,I like to have a balanced diet with nutrients from diverse sources
Omnivore,"I don't know. I wish I were vegan actually, but I can't seem to get myself to make the switch."
Vegan,"Health and Moral reasons. 
There are plenty of non-animal options for meals in Australia and things are getting more accessible and user-friendly for Vegans to be able to easily maintain their dietary needs.
Science and researching has come along way informing us where to find safe nutrients needed in non-animal products. 

Thank you for asking the question and having the conversation."
Omnivore,"I was raised eating meat. When I was 20 I stopped eating meat and was a vegetarian for 2 years. I began feeling unwell (this lasted for 6 months) and doctors were unable to determine why and suggested I change my diet back to meat and see how I'm feeling. After being back on meat for a week I was feeling better and had much more energy. 
Initially I followed this diet because this is the diet I was raised on, but now I follow this diet for health reasons."
Vegan,"Animal welfare, health, environmental sustainability"
Omnivore,To get all the nutriton needed
Omnivore,"I like meat, and I don't have the time or money to pursue more animal-friendly and earth-friendly alternatives. I also worry that I won't be able to keep up my low weight and energy with a meatless diet due to my body type and food preferences"
Vegan,1. Environment 2. Ethics 3. Health
Omnivore,Convenience
Vegan,Ethical. I couldn't justify putting a price on life. Any life.
Omnivore,how I was brought up and time factors
Omnivore,It’s how I was brought up and what I have been eating my whole life. I like the taste and I like eating heaps of different things.
Omnivore,"I find for me it is a balanced, healthy way of living."
Omnivore,I enjoy eating both meat and vegetables
Omnivore,Provides an appropriate amount of nutrition and protein needed in a daily lifestyle.
Vegan,Initially health and then ethical following further research
Omnivore,"This is the diet I have been raised on, among other things. I enjoy the taste of meat and veggies."
Omnivore,Ease
Vegetarian,"For the sustainability of the planet, health and animal welfare"
Omnivore,"How I was raised, and I like the taste of meat, dairy and animal products too much to give them up. Though I try to eat meat less often for the environment's sake."
Omnivore,Meat tastes good
Omnivore,Convinience
Omnivore,"I was brought up that way.
I find it hard to not eat meat in dishes as it’s engrained into me that I need it to feel full"
Omnivore,I enjoy eating meat and find I can create a balanced diet for myself by eating all food groups
Omnivore,"Yum, easy, nutritional"
Omnivore,Convenience & health
Omnivore,I find it difficult to get enough iron in my diet without meat.
Omnivore,I enjoy the taste
Vegetarian,"Because of the animals, environment and my own health."
Omnivore,I enjoy almost all meat and plant products.  I always have and always will
Vegetarian,Ethical and environmental concerns with meat industry
Omnivore,I don’t like vegetables
Vegetarian,"Ethical/moral reasons - not wanting to contribute to unnecessary suffering of animals.

Health reasons - believe society consumes above the recommended amount for most meats"
Vegan,"Mostly environmental and health reasons however, I do believe we shouldn't kill animals for food"
Omnivore,"Because I like to follow a balanced diet that includes all products such as dairy, meat, vegetables, fruit and grains."
Omnivore,I enjoy eating the meat. I love veggies too.
Omnivore,i like all food
Vegetarian,Ethical and health reasons.
Omnivore,because I find it delicious
Omnivore,"Convenience and taste 
"
Vegetarian,"Don’t really enjoy taste of meat, stomach/health reasons, & consideration for animal life."
Vegetarian,Environmentalism
Vegetarian,Balance between reducing animal cruelty while being able to follow a low-stress easily-balanced diet
Omnivore,Flexibility.
Vegan,"For the animals and environment, hate the texture of meat, and am lactose intolerant."
Vegetarian,"Environmental reasons, animal wellbeing"
Omnivore,I enjoy meat
Vegetarian,"Ethical - don't like the way the meat industry operates
health - feel healthier and better not eating meat than when I did"
Omnivore,"Health, fitness, enjoyment"
Vegan,"Started off vegetarian nearly 2 years ago, and decided to try a plant based diet just over a year ago and stuck with it"
Omnivore,"It's the easiest, cheapest, and most convenient diet for me at this time"
Omnivore,I feel more satiated on an omnivorous diet than I do a vegetarian diet.
Omnivore,Because its practical
Vegetarian,I believe that we should all be consuming less meat as current consumption is unsustainable.
Vegetarian,Ethical - I feel uncomfortable about eating animals and also feel it is better for the environment. I am pescatarian though due to health concerns.
Omnivore,"Mostly vegetarian diet, but eat fish and occasionally chicken (maybe once a week). Very low levels of other meats. I limit meat for health and ethical reasons."
Vegan,"Ethical, environmental, & health reasons"
Omnivore,"Taste, health"
Vegetarian,"Moral and environmental. Can't justify eating meat if there are so many options to get my calories that don't require an animal to day. I strive for a vegan diet to further reduce my usage of animal products but do eat diary or eggs occasionally, especially when eating out with friends etc."
Vegetarian,"Primarily ethical (at first animal welfare, later also considerations about climate). I also do not enjoy the taste of meat and dislike eating meat (before becoming a vegetarian I used to eat meat which is not ""meaty"")"
Vegan,"ethical (animal rights), environmental"
Vegetarian,"Mostly ecological, trying to reduce my carbon footprint.
Secondly, I think the meat industry is horrible and mistreat animals.
I'm not against eating meat in itself, but disagree with how we produce meat and the impact it has on the planet."
Omnivore,I enjoy all varieties of food.
Omnivore,"'- Because I enjoy foods that contain meat 
"
Vegetarian,My mother is a vegetarian which partly influenced my choice. The other reason was because I care about animals and their treatment so decided to stop eating meat.
Omnivore,Grew up with this diet and enjoy the taste that meat and animal products have
Vegan,Health and environmental concerns
Omnivore,"Upbringing, taste, convenience"
Vegetarian,I don’t believe we need to kill animals for food source. It’s inhumane
Vegan,"All - dietary, environmental, ethical"
Vegan,"Food allergies
Health benefits
Reduce animal suffering
Positive environmental impact
"
Vegan,Not wanting to harming animals and wanted to be healthier
Vegetarian,"Environmental, social (i.e. if we farmed more crops we could feed the world), and now health (diary intolerant)"
Vegetarian,Ecological at first
Omnivore,Convenience
Omnivore,"Taste preference, access to variety of food flavours and tastes"
Omnivore,Familia upbringing.
Omnivore,I just enjoy all different food types
Vegetarian,dislike of the taste of meat; way to stand against agro-industry and overfishing;
Omnivore,Habit
Vegetarian,No cruelty to animals. Environmentally friendlier.
Vegan,Ethical / Spiritual
Omnivore,I find meet really enjoyable to eat. If I ever to eat a meat free meal I end up having a heap of snacks/dessert because I am so hungry. Also a lot of vegetarian protein options aren't kind to my IBS. Plus too hard to make different dinners for two people.
Omnivore,Health and taste
Vegetarian,I personally don’t like eating much meat as I feel it unnessacary. I love animals and don’t want to support the industry however working in hospitality prepping meat does not bother me it is a personal choice
Omnivore,Balance and range of nutrition
